[03:01:09:256796 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 1080
[03:01:09:650825 +02:00] [Thread 11432] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 1030
[03:01:10:002780 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 980
[03:01:10:356004 +02:00] [Thread 11432] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 930
[03:01:10:771708 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 880
[03:01:11:188720 +02:00] [Thread 16588] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 830
[03:01:11:736716 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 780
[03:01:12:176744 +02:00] [Thread 16588] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 730
[03:01:12:593827 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 680
[03:01:12:987742 +02:00] [Thread 16588] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 630
[03:01:13:382885 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 580
[03:01:13:778677 +02:00] [Thread 16588] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 530
[03:01:14:152740 +02:00] [Thread 9800] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 480
[03:01:14:548907 +02:00] [Thread 16588] PLAYER: ( 76561198191441767 ) R DarkV:1 (marvi) REMOTE PURCHASED ITEM 5Rnd_127x108_APDS_Mag FOR 50 POPTABS | PLAYER TOTAL MONEY: 430
